Ordem;Contrato;Família;Item ;Descrição ;Dt Requisição;Requisição;Requisitante;Dt Aprov Requis;Dt Ordem;Dt Pedido;Pedido  ;Ped Emerg.;Prazo Entrega;Dt Nota Fiscal;Dt Rec. Físico  ;Comprador   ;Qtde;Valor ;Fornecedor   ;Cond Pagto;Grupo de Estoque;Unid Medida;Tipo de Material;Situação do Item;Tipo Controle do Item;Departamento;Nro Ordem Investimento
  8081.29;0;470;4700447;VALVULA MANGOTE 4POL ANSI B 16.5 - 150PSI / 150#            ;;;0;18/06/2015;06/01/2016;11/01/2016;4.272;Não;20;;;1572800;0;2.006,55;1197;30 - 30 ;85;PC;Material;Ativo   ;Total   ;0;
  8081.18;0;742;7420083;CABO COBRE NU 1X16MM2 7 FIOS                                ;;;0;18/06/2015;05/01/2016;11/01/2016;4.278;Não;17;21/01/2016;05/02/2016;1572800;2.000,00;3,38;10424;28 - 28 ;10;KG;Material;Ativo   ;Total   ;0;
  8081.20;0;590;5900105;ROLAMENTO 23028C SKF                                        ;;;0;18/06/2015;06/01/2016;11/01/2016;4.276;Não;15;20/01/2016;26/01/2016;1572800;2;882,84;5625;30 - 30 ;10;PC;Material;Ativo   ;Total   ;0;
  8081.27;0;354;3541214;CILINDRO DE TRAVA 80300735500 METSO                         ;;;0;18/06/2015;06/01/2016;11/01/2016;4.277;Não;20;12/01/2016;26/01/2016;1572800;6;848,94;9861;9 - 30 D;10;PC;Material;Ativo   ;Total   ;0;
  8081.40;0;614;6140084;LUVA DE VAQUETA M                                           ;;;0;18/06/2015;06/01/2016;11/01/2016;4.282;Não;17;13/01/2016;14/01/2016;1572800;100;17;20465;9 - 30 D;10;PR;Material;Ativo   ;Total   ;0;
  8081.41;0;614;6140136;BOTA PVC 38 COM BIQUEIRA                                    ;;;0;18/06/2015;06/01/2016;11/01/2016;4.274;Não;15;21/01/2016;27/01/2016;1572800;10;145;1536;9 - 30 D;10;PC;Material;Ativo   ;Total   ;0;
  8081.42;0;614;6140236;MEIAO                                                       ;;;0;18/06/2015;06/01/2016;11/01/2016;4.270;Não;17;14/01/2016;08/02/2016;1572800;500;3,8;675;9 - 30 D;10;PR;Material;Ativo   ;Total   ;0;
  8081.43;0;614;6140262;FITA SINALIZACAO 6250 3M                                    ;;;0;18/06/2015;06/01/2016;11/01/2016;4.274;Não;17;18/01/2016;25/01/2016;1572800;100;6,5;1536;9 - 30 D;10;PC;Material;Ativo   ;Total   ;0;
  8081.44;0;614;6140265;MASCARA SEGURANCA 7503 3M                                   ;;;0;18/06/2015;06/01/2016;11/01/2016;4.274;Não;15;18/01/2016;25/01/2016;1572800;10;147;1536;9 - 30 D;10;PC;Material;Ativo   ;Total   ;0;
  8081.45;0;614;6140284;ABAFADOR RUIDO H6A 3M                                       ;;;0;18/06/2015;06/01/2016;11/01/2016;4.282;Não;17;13/01/2016;14/01/2016;1572800;10;43,7;20465;9 - 30 D;10;PC;Material;Ativo   ;Total   ;0;
  8081.46;0;614;6140288;CAPUZ PARA SOLDADOR II CASO TAM.2                           ;;;0;18/06/2015;06/01/2016;11/01/2016;4.274;Não;15;18/01/2016;25/01/2016;1572800;20;12;1536;9 - 30 D;10;PC;Material;Ativo   ;Total   ;0;
  8081.48;0;618;6180044;BOTA DE PVC 38                                              ;;;0;18/06/2015;06/01/2016;11/01/2016;4.274;Não;15;18/01/2016;25/01/2016;1572800;2;99,8;1536;9 - 30 D;10;PR;Material;Ativo   ;Total   ;0;
  8081.49;0;734;7340006;FITA ISOLANTE SCOTH 35+ VERDE                               ;;;0;18/06/2015;06/01/2016;11/01/2016;4.282;Não;15;13/01/2016;14/01/2016;1572800;50;9;20465;9 - 30 D;10;PC;Material;Ativo   ;Total   ;0;
